Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-08-01,CUST001,Female,33,Beauty,1,25,25
2,2023-08-02,CUST002,Male,23,Beauty,1,150,150
3,2023-07-23,CUST003,Female,32,Clothing,1,100,100
4,2023-10-06,CUST004,Female,39,Beauty,3,30,90
5,2023-02-13,CUST005,Male,40,Electronics,3,300,900
6,2023-10-24,CUST006,Female,52,Beauty,1,100,100
7,2023-07-27,CUST007,Female,54,Beauty,1,25,25
8,2023-08-25,CUST008,Female,23,Electronics,4,50,200
9,2023-04-21,CUST009,Female,28,Clothing,3,50,150
10,2023-09-22,CUST010,Male,56,Clothing,2,200,400
11,2023-02-13,CUST011,Female,58,Electronics,3,100,300
12,2023-11-25,CUST012,Male,32,Electronics,4,150,600
13,2023-04-07,CUST013,Female,31,Clothing,4,150,600
14,2023-02-05,CUST014,Male,53,Clothing,4,300,1200
15,2023-11-13,CUST015,Female,32,Electronics,4,100,400
16,2023-02-02,CUST016,Male,27,Clothing,4,300,1200
17,2023-08-13,CUST017,Female,56,Electronics,3,300,900
18,2023-12-28,CUST018,Male,61,Electronics,3,500,1500
19,2023-10-11,CUST019,Male,36,Clothing,1,150,150
20,2023-12-29,CUST020,Female,50,Electronics,1,300,300
21,2023-11-10,CUST021,Male,27,Clothing,1,50,50
22,2023-08-16,CUST022,Male,25,Electronics,2,150,300
23,2023-01-29,CUST023,Male,23,Electronics,2,50,100
24,2023-02-16,CUST024,Male,34,Clothing,4,200,800
25,2023-12-30,CUST025,Male,63,Clothing,3,300,900
26,2023-06-17,CUST026,Female,25,Beauty,3,25,75
27,2023-01-18,CUST027,Male,55,Beauty,1,25,25
28,2023-03-29,CUST028,Male,39,Beauty,3,30,90
29,2023-08-07,CUST029,Male,64,Electronics,4,300,1200
30,2023-04-16,CUST030,Female,30,Beauty,3,100,300
31,2023-05-15,CUST031,Male,61,Clothing,1,300,300
32,2023-01-24,CUST032,Female,24,Beauty,4,30,120
33,2023-02-06,CUST033,Female,47,Beauty,4,25,100
34,2023-10-28,CUST034,Male,21,Clothing,1,200,200
35,2023-12-30,CUST035,Male,28,Clothing,2,150,300
36,2023-11-29,CUST036,Male,28,Clothing,3,150,450
37,2023-12-26,CUST037,Female,36,Clothing,4,300,1200
38,2023-02-10,CUST038,Male,21,Clothing,1,200,200
39,2023-10-02,CUST039,Male,55,Clothing,2,200,400
40,2023-01-17,CUST040,Male,29,Beauty,2,25,50
41,2023-05-31,CUST041,Male,55,Clothing,1,200,200
42,2023-05-19,CUST042,Female,34,Beauty,2,50,100
43,2023-04-05,CUST043,Female,47,Clothing,1,25,25
44,2023-06-19,CUST044,Male,22,Clothing,3,200,600
45,2023-02-12,CUST045,Male,33,Clothing,4,50,200
46,2023-11-23,CUST046,Female,57,Electronics,1,500,500
47,2023-08-18,CUST047,Female,60,Beauty,3,30,90
48,2023-02-04,CUST048,Male,35,Beauty,3,30,90
49,2023-03-21,CUST049,Female,50,Clothing,1,25,25
50,2023-08-27,CUST050,Female,20,Beauty,3,30,90
51,2023-02-15,CUST051,Female,53,Beauty,2,25,50
52,2023-07-27,CUST052,Female,55,Clothing,2,150,300
53,2023-01-12,CUST053,Male,40,Beauty,1,30,30
54,2023-05-18,CUST054,Female,57,Electronics,2,100,200
55,2023-12-26,CUST055,Male,44,Beauty,4,50,200
56,2023-10-28,CUST056,Male,35,Beauty,4,25,100
57,2023-11-28,CUST057,Female,32,Beauty,3,100,300
58,2023-04-26,CUST058,Male,32,Beauty,4,30,120
59,2023-05-28,CUST059,Male,35,Clothing,4,200,800
60,2023-09-27,CUST060,Female,19,Beauty,2,50,100
61,2023-07-09,CUST061,Male,24,Clothing,3,100,300
62,2023-06-17,CUST062,Male,42,Electronics,3,100,300
63,2023-01-14,CUST063,Male,51,Electronics,2,300,600
64,2023-05-03,CUST064,Female,57,Clothing,3,25,75
65,2023-06-22,CUST065,Female,38,Clothing,2,100,200
66,2023-03-22,CUST066,Female,61,Electronics,3,100,300
67,2023-05-27,CUST067,Male,37,Beauty,3,100,300
68,2023-06-15,CUST068,Male,50,Clothing,2,300,600
69,2023-08-10,CUST069,Female,23,Electronics,3,100,300
70,2023-03-07,CUST070,Male,19,Beauty,1,100,100
71,2023-06-29,CUST071,Male,63,Electronics,4,200,800
72,2023-04-21,CUST072,Male,24,Electronics,2,100,200
73,2023-10-23,CUST073,Female,21,Clothing,4,25,100
74,2023-02-15,CUST074,Female,46,Clothing,4,300,1200
75,2023-11-18,CUST075,Female,28,Electronics,4,200,800
76,2023-04-08,CUST076,Female,51,Clothing,3,50,150
77,2023-06-23,CUST077,Female,33,Beauty,1,50,50
78,2023-02-08,CUST078,Female,62,Beauty,1,30,30
79,2023-05-11,CUST079,Female,44,Beauty,4,100,400
80,2023-11-19,CUST080,Male,54,Clothing,3,25,75
81,2023-04-13,CUST081,Female,52,Electronics,2,300,600
82,2023-06-09,CUST082,Female,49,Beauty,4,50,200
83,2023-10-27,CUST083,Female,26,Electronics,1,300,300
84,2023-11-19,CUST084,Male,23,Clothing,4,50,200
85,2023-03-09,CUST085,Female,38,Beauty,3,50,150
86,2023-10-13,CUST086,Female,44,Beauty,4,25,100
87,2023-01-18,CUST087,Male,40,Beauty,1,25,25
88,2023-10-31,CUST088,Male,30,Electronics,2,300,600
89,2023-03-16,CUST089,Male,54,Electronics,3,200,600
90,2023-10-06,CUST090,Male,28,Electronics,1,50,50
91,2023-12-19,CUST091,Female,43,Electronics,1,100,100
92,2023-08-27,CUST092,Male,24,Electronics,1,150,150
93,2023-10-19,CUST093,Male,40,Clothing,3,300,900
94,2023-01-21,CUST094,Female,18,Electronics,1,200,200
95,2023-06-12,CUST095,Female,63,Beauty,3,30,90
96,2023-08-30,CUST096,Female,47,Clothing,3,300,900
97,2023-05-08,CUST097,Male,35,Electronics,4,100,400
98,2023-07-22,CUST098,Female,39,Beauty,2,50,100
99,2023-06-12,CUST099,Female,39,Beauty,3,150,450
100,2023-07-17,CUST100,Male,23,Beauty,4,100,400
101,2023-07-08,CUST101,Female,59,Electronics,1,200,200
102,2023-02-08,CUST102,Female,62,Beauty,3,150,450
103,2023-06-17,CUST103,Female,45,Electronics,3,300,900
104,2023-05-15,CUST104,Female,37,Beauty,2,25,50
105,2023-04-24,CUST105,Male,30,Beauty,3,100,300
106,2023-10-25,CUST106,Female,24,Electronics,2,150,300
107,2023-05-10,CUST107,Male,63,Clothing,1,100,100
108,2023-12-18,CUST108,Female,62,Electronics,4,500,2000
109,2023-02-01,CUST109,Female,48,Clothing,2,100,200
110,2023-12-09,CUST110,Female,25,Electronics,4,200,800
111,2023-01-21,CUST111,Male,27,Beauty,3,150,450
112,2023-02-08,CUST112,Male,53,Electronics,2,300,600
113,2023-10-13,CUST113,Female,46,Beauty,4,150,600
114,2023-04-20,CUST114,Male,57,Electronics,2,50,100
115,2023-08-09,CUST115,Male,28,Beauty,1,150,150
116,2023-02-14,CUST116,Female,62,Clothing,1,100,100
117,2023-03-23,CUST117,Female,62,Electronics,2,50,100
118,2023-11-26,CUST118,Male,45,Beauty,2,30,60
119,2023-11-27,CUST119,Male,22,Beauty,3,50,150
120,2023-06-15,CUST120,Female,62,Clothing,4,100,400
121,2023-06-20,CUST121,Male,45,Electronics,3,300,900
122,2023-01-08,CUST122,Male,61,Electronics,1,300,300
123,2023-10-06,CUST123,Female,51,Clothing,2,100,200
124,2023-12-14,CUST124,Female,23,Clothing,3,150,450
125,2023-05-04,CUST125,Male,39,Clothing,3,150,450
126,2023-08-13,CUST126,Male,47,Beauty,3,50,150
127,2023-02-25,CUST127,Female,50,Electronics,4,50,200
128,2023-05-07,CUST128,Female,57,Electronics,4,500,2000
129,2023-10-07,CUST129,Female,53,Beauty,4,50,200
130,2023-11-16,CUST130,Male,19,Electronics,2,300,600
131,2023-09-10,CUST131,Male,53,Clothing,1,50,50
132,2023-06-04,CUST132,Male,49,Electronics,3,150,450
133,2023-05-16,CUST133,Female,33,Clothing,4,50,200
134,2023-03-20,CUST134,Male,22,Beauty,3,100,300
135,2023-12-17,CUST135,Female,18,Beauty,4,50,200
136,2023-11-15,CUST136,Female,40,Clothing,4,200,800
137,2023-06-11,CUST137,Male,62,Beauty,2,100,200
138,2023-11-14,CUST138,Male,38,Electronics,4,500,2000
139,2023-05-22,CUST139,Male,49,Electronics,3,100,300
140,2023-11-28,CUST140,Female,24,Clothing,1,150,150
141,2023-09-14,CUST141,Male,22,Clothing,3,100,300
142,2023-08-13,CUST142,Male,39,Electronics,4,300,1200
143,2023-12-21,CUST143,Female,52,Beauty,2,25,50
144,2023-08-30,CUST144,Female,32,Electronics,1,200,200
145,2023-10-23,CUST145,Male,46,Beauty,1,50,50
146,2023-01-26,CUST146,Male,36,Clothing,2,150,300
147,2023-04-14,CUST147,Male,28,Beauty,4,150,600
148,2023-08-08,CUST148,Female,55,Beauty,3,100,300
149,2023-06-22,CUST149,Male,47,Electronics,2,500,1000
150,2023-01-31,CUST150,Female,55,Beauty,3,100,300
